idUsuario,idEpisodio,fecha
001,005,2022-01-15
001,006,2022-02-20
001,008,2022-03-05
001,028,2022-04-10
001,036,2022-05-15
001,024,2022-06-20
001,028,2022-07-25
001,035,2022-08-30
002,009,2022-09-05
002,005,2022-10-10
002,036,2022-11-15
002,006,2022-12-20
002,025,2023-01-25
002,010,2023-02-28
002,011,2023-03-15
002,016,2023-04-20
003,025,2023-05-25
003,005,2023-06-30
003,009,2023-07-05
003,019,2023-08-10
003,024,2023-09-15
003,039,2023-10-20
003,007,2023-11-25
003,008,2023-12-30
003,034,2024-01-05
003,029,2024-02-10
004,009,2024-03-15
004,007,2024-04-20
004,002,2024-05-25
004,008,2024-06-30
004,010,2024-07-05
004,011,2024-08-10
004,025,2024-09-15
004,036,2024-10-20
005,025,2024-11-25
005,017,2024-12-30
005,007,2025-01-05
005,034,2025-02-10
005,040,2025-03-15
005,029,2025-04-20
005,037,2025-05-25
005,010,2025-06-30
005,011,2025-07-05
006,036,2025-08-10
006,008,2025-09-15
006,004,2025-10-20
006,003,2025-11-25
006,002,2025-12-30
006,001,2026-01-05
006,005,2026-02-10
006,009,2026-03-15
006,010,2026-04-20
006,018,2026-05-25
006,028,2026-06-30
006,039,2026-07-05
006,040,2026-08-10
006,020,2026-09-15
007,040,2026-10-20
007,029,2026-11-25
007,036,2026-12-30
007,034,2027-01-05
007,024,2027-02-10
007,026,2027-03-15
007,028,2027-04-20
007,016,2027-05-25
007,018,2027-06-30
007,019,2027-07-05
007,010,2027-08-10
007,008,2027-09-15
007,005,2027-10-20
007,006,2027-11-25
007,001,2027-12-30
008,002,2028-01-05
008,009,2028-02-10
008,010,2028-03-15
008,025,2028-04-20
008,024,2028-05-25
008,026,2028-06-30
008,028,2028-07-05
008,030,2028-08-10
008,036,2028-09-15
008,038,2028-10-20
008,040,2028-11-25
009,001,2028-12-30
009,002,2029-01-05
009,003,2029-02-10
009,004,2029-03-15
009,022,2029-04-20
009,021,2029-05-25
009,031,2029-06-30
009,032,2029-07-05
009,024,2029-08-10
009,034,2029-09-15
009,025,2029-10-20
010,040,2029-11-25
010,001,2029-12-30
010,039,2030-01-05
010,002,2030-02-10
010,038,2030-03-15
010,003,2030-04-20
010,037,2030-05-25
010,004,2030-06-30
010,036,2030-07-05
010,005,2030-08-10
010,035,2030-09-15
010,006,2030-10-20
010,034,2030-11-25
